ArticleTitle,Question,Answer
Egypt,What is the estimated population of Egypt?,More than 78 million.
Egypt,Does snow fall in Egypt?,Yes.
Egypt,When did organized agriculture appear in the Nile Valley?,6000 BC.
elephant,Are elephants the largest land animals alive today?,yes
elephant,Can an elephant kill a rhinoceros?,yes
elephant,Are elephants good swimmers?,yes
elephant,How many living species of African Elephants are there?,2
elephant,How long may elephants live?,70 years
elephant,Why does the phrase 'elephants never forget' have no metaphorical meaning?,it refers literally to elephants supposedly having an excellent memory
elephant,How many living species of Asian Elephants are there?,1
elephant,How much do elephants weight at birth?,120 kilograms
elephant,What did Aristotle say about elephants?,the beast which pasS08_seth all others in wit and mind
elephant,Are elephant populations in West Africa generally small and fragmented?,yes
elephant,Is the Asian elephant larger than the African?,no
elephant,Is an elephant's skin tough?,yes
elephant,How do elephants communicate over long distances?,by producing and receiving low frequency sound
elephant,When do African elephants lie down?,when they are sick or wounded
elephant,How long is the elephant's gestation period?,22 months
elephant,How many species of African elephants have been proposed?,three
elephant,What are the elephant's ears important for?,temperature regulation
elephant,What land animal has the largest brain?,elephant
elephant,Are elephants mammals?,yes
elephant,Have elephants been used as working animals?,yes
elephant,Do they prefer forested areas?,Yes
elephant,What is the world population of Asian elephants?,60000
elephant,What part of an elephant is very important for temperature regulation?,Ears
elephant,Where was the largest elephant ever recorded shot?,Angola
elephant,Is an Asian elephant smaller than an African elephant?,yes
elephant,What land animal is larger than an elephant?,None
elephant,Has tusklessness become a rare abnormality?,No
Finland,Were the treaties signed in 1947 and 1948 with the Ukraine?,no
Finland,Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?,yes
Finland,Is the most read newspaper in Finland Taloussanomat?,no
Finland,Which Russian army general conquered Finland in 1809?,Alexander I
Finland,What is the life expectancy for men in Finland?,75 years
Finland,"In what year were the ""Games of the XV Olympiad"" held?",1952
Finland,What body of water lies to the south of Finland?,the Gulf of Finland
Finland,Name an animal that is growing in number due to recent conservation efforts,"Golden Eagle, Brown Bear, or Eurasian Lynx (Change imperative to interrogative)"
Finland,"Today, are there more cell phone subscriptions than people in Finland?",yes
Finland,Is Matti Vanhanen the Prime Minister of Finland?,yes
Finland,Is the capital city Oslo?,no
Finland,Does it have a border with Norway?,yes
Finland,What is the life expectancy for men?,75 years
Finland,What is the biggest city in Finland?,Greater Helsinki
Finland,Who is the most popular rock group in Finland?,CMX
Finland,What is Finland's economy like?,"a highly industrialised, free-market economy"
Finland,Where is Finland located?,Northern Europe
Finland,What is the weather like in summer?,relatively warm
Finland,Does salmon remain the favorite of fly rod enthusiasts?,Yes
Finland,Are there cathedrals scattered all across Finland?,Yes
Finland,"According to Reader's Digest, is Finland best for living?",Yes
Finland,When did the first verifiable written documents appear?,Twelfth Century
Finland,What is the capital city?,Helsinki
Finland,What is the most extensively celebrated holiday?,Christmas
Finland,Does a large proportion of the population speak Swedish as its mother tongue?,No
Finland,Do women live longer than men?,Yes
Finland,What is a country with which Finland is involved in an international conflict?,None
Finland,What is Helsinki?,NULL
Finland,What is concentrated in the southern part of the country?,NULL
Finland,What is spoken natively by a 5.5 percent minority?,NULL
Finland,What do jari litmanen and sami hyypiä have in common?,NULL
Finland,Is it true that he composed finlandia in 1899?,NULL
Finland,Is it true that it has borders with sweden?,NULL
Finland,What did Finland join in 1995?,NULL
Finland,Is finnish culture indigenous?,NULL
Finland,Is finnish architecture famous?,NULL
Finland,What situated in Northern?,NULL
Finland,What arrived in Finland?,NULL
Finland,What ceded by Finland?,NULL
Finland,Lunch is what?,NULL
Finland,"Who is the autonomous Åland Islands , where Finnish is not compulsory due to Swedish being the sole official language of the province . ?",NULL
Finland,The earliest people were what?,NULL
Finland,Are Various sporting events popular in Finland ?,NULL
Finland,Are all official holidays in Finland established by acts of Parliament ?,NULL
Finland,Are the people of Finland accustomed to technology and information services ?,NULL
Finland,"Was one of the most productive composers of popular music Toivo Kärki , and the most famous singer Olavi Virta -LRB- 1915 -- 1972 -RRB- ?",NULL
Finland,Do 79 percent of the population not use the Internet ?,NULL
Finland,Did the relationship between the Grand Duchy and the Russian Empire not sour when the Russian government made moves to restrict Finnish autonomy ?,NULL
Finland,"Is finland , officially the republic of finland (`` `` republic of finland ('' '' , or (`` `` suomen tasavalta ('' '' in finnish and (`` `` republiken finland ('' '' in swedish , the long protocol name , which is not defined by the law?",NULL
Finland,Is the capital city helsinki?,NULL
Finland,"Is finland a democratic , parliamentary republic?",NULL
Gerald_Ford,Was Ford a member of the House of Representatives?,Yes
Gerald_Ford,For how long was Ford a member of the House of Representatives?,Over eight years.
Gerald_Ford,Was Gerald Ford a member of Delta Kappa Epsilon?,Yes
Gerald_Ford,"Did ford get an award called ""Congressman's congressman""?",Yes
Gerald_Ford,Did ford attend the University of Michigan?,Yes
Gerald_Ford,What positions Ford played in the school football team?,Center and linebacker
Gerald_Ford,What did Ford say about his biological father?,He was abusive and had a history of hitting his mother.
Gerald_Ford,Who did Ford nominate for Vice President?,Bob Dole
Gerald_Ford,Was Ford active about Vietnamese affairs?,No
Gerald_Ford,Had Ford's wife married before?,Yes
Gerald_Ford,Is Ford related with the assassination of John F. Kennedy?,Yes
Gerald_Ford,Was Gerald Ford the 38th President of the United States?,yes
Gerald_Ford,Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?,yes
Gerald_Ford,Was Ford an Eagle Scout?,yes
Gerald_Ford,What district was Ford elected from?,Michigan's 5th congressional district
Gerald_Ford,How many Eagle Scouts were involved in Ford's funeral procession?,400
Gerald_Ford,Which future Heisman Trophy winner did Ford tackle?,Jay Berwanger
Gerald_Ford,Has another US President been an Eagle Scout?,no
Gerald_Ford,Did Ford need to do extra work to pay for college?,yes
Gerald_Ford,Have more than five Presidents lived past the age of 90?,no
Gerald_Ford,How do kwajalein and eniwetok relate?,The Monterey supported landings at both locations.
Gerald_Ford,"What did Ford receive on April 13, 1942?",Ford received a commission as ensign in the US Naval Reserve.
Gerald_Ford,Was Ford released from the hospital?,Yes.
Gerald_Ford,"Was Ford interred at his Presidential Museum in Grand Rapids, Michigan?",Yes.
Gerald_Ford,Is Ford one of only four former Presidents to live to 90 or more years of age ?,Yes.
Gerald_Ford,Was Ford the last surviving member of the Warren Commission ?,Yes.
Gerald_Ford,"Did Grand Rapids supporters not urge him to take on Bartel J. Jonkman , the incumbent Republican congressman ?",No.
Gerald_Ford,Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,They did claim Ford's pardon was quid pro quo.
Ghana,Does Ghana have twice the per capita output of the poorer countries in West Africa?,yes
Ghana,Is English Ghana's official language?,yes
Ghana,Did the Dutch build the Elmina Castle?,No
Ghana,When did Ghana achieve independence from the United Kingdom?,1957
Ghana,How many regions is Ghana divided into?,10
Ghana,Who is the head of state of Ghana?,President John Agyekum Kofuor
Ghana,What is the dominant religion in Ghana?,Christian
Ghana,What are the two subfamilies of the Native Ghanaian languages?,Kwa and Gur
Ghana,What is the weather like at Lake Volta?,Warm and comparatively dry
Ghana,Is Ghana in Asia?,no
Ghana,Is English the official language?,yes
Ghana,Is Ghana's head of state John Agyekum Kufuor?,yes
Ghana,What does the word Ghana mean?,warrior king
Ghana,Who was Kwame Nkrumah?,founder and first president
Ghana,Where is old Ghana in relation to present Ghana?,500 miles north
Ghana,Who makes up Ghana's Parliament?,the New Patriotic Party and National Democratic Congress
